area,iso_area,building_type,building_name,betweenness,degree_centrality,eigenvector_centrality,closeness_centrality,degree,clustering_coef,id,area_norm,iso_area_norm,degree_norm
18254,153,monastery,MN0024,0.6672705314009661,0.4583333333333333,0.4250123818365297,0.6,11,0.07272727272727272,MN0024_000,0.22073085201576823,0.001988252417091174,0.1746031746031746
1313,795,monastery,MN0024,0.15942028985507248,0.08333333333333333,0.020518905913831306,0.3157894736842105,2,0,MN0024_001,0.015877046603303586,0.010331115500571786,0.031746031746031744
732,704,monastery,MN0024,0.0,0.041666666666666664,0.10659335991260765,0.36363636363636365,1,0,MN0024_002,0.008851483711818908,0.009148560141386838,0.015873015873015872
570,378,monastery,MN0024,0.0018115942028985507,0.125,0.18632726945797776,0.375,3,0.6666666666666666,MN0024_003,0.006892548791990132,0.004912153030460547,0.047619047619047616
499,310,monastery,MN0024,0.47554347826086957,0.5,0.5085282270590004,0.5581395348837209,12,0.10606060606060606,MN0024_004,0.006034003240707152,0.004028485289531136,0.19047619047619047
269,159,monastery,MN0024,0.01328502415458937,0.125,0.25842076615903015,0.46153846153846156,3,0.6666666666666666,MN0024_005,0.003252799342184817,0.002066223100114357,0.047619047619047616
216,195,monastery,MN0024,0.0,0.041666666666666664,0.10659335991260765,0.36363636363636365,1,0,MN0024_006,0.0026119132264383663,0.002534047198253457,0.015873015873015872
161,184,monastery,MN0024,0.0,0.041666666666666664,0.019532474784999112,0.2857142857142857,1,0,MN0024_007,0.001946842728965634,0.0023911009460442873,0.015873015873015872
113,89,monastery,MN0024,0.0,0.08333333333333333,0.11271510466760389,0.3870967741935484,2,1.0,MN0024_008,0.001366417567534886,0.001156565131510552,0.031746031746031744
112,178,monastery,MN0024,0.0,0.08333333333333333,0.11271510466760389,0.3870967741935484,2,1.0,MN0024_009,0.0013543253766717454,0.002313130263021104,0.031746031746031744
111,277,monastery,MN0024,0.08333333333333333,0.08333333333333333,0.09318262990148754,0.39344262295081966,2,0,MN0024_010,0.0013422331858086048,0.003599646532903628,0.031746031746031744
108,118,monastery,MN0024,0.0,0.08333333333333333,0.14564975152418055,0.36923076923076925,2,1.0,MN0024_011,0.0013059566132191832,0.0015334234327892713,0.031746031746031744
94,590,monastery,MN0024,0.2282608695652174,0.08333333333333333,0.09338942567983521,0.42105263157894735,2,0,MN0024_012,0.001136665941135215,0.007667117163946356,0.031746031746031744
82,115,monastery,MN0024,0.020833333333333332,0.125,0.23473803320124195,0.4528301886792453,3,0.6666666666666666,MN0024_013,0.000991559650777528,0.0014944380912776795,0.047619047619047616
54,253,monastery,MN0024,0.0,0.041666666666666664,0.08908828167706143,0.38095238095238093,1,0,MN0024_014,0.0006529783066095916,0.003287763800810895,0.015873015873015872
47,82,monastery,MN0024,0.08333333333333333,0.08333333333333333,0.004498846917404035,0.24742268041237114,2,0,MN0024_015,0.0005683329705676075,0.0010655993346501715,0.031746031746031744
44,59,monastery,MN0024,0.0,0.041666666666666664,0.10659335991260765,0.36363636363636365,1,0,MN0024_016,0.0005320563979781857,0.0007667117163946357,0.015873015873015872
32,39,monastery,MN0024,0.0,0.041666666666666664,0.10659335991260765,0.36363636363636365,1,0,MN0024_017,0.00038695010762049867,0.0005068094396506914,0.015873015873015872
32,72,monastery,MN0024,0.0232487922705314,0.16666666666666666,0.2545327414252974,0.39344262295081966,4,0.6666666666666666,MN0024_018,0.00038695010762049867,0.0009356481962781994,0.06349206349206349
28,370,monastery,MN0024,0.0,0.08333333333333333,0.19568164158966908,0.4444444444444444,2,1.0,MN0024_019,0.00033858134416793635,0.004808192119762969,0.031746031746031744
17,146,monastery,MN0024,0.0304951690821256,0.20833333333333331,0.2993140677788249,0.4,5,0.5,MN0024_020,0.00020556724467338993,0.0018972866202307931,0.07936507936507936
16,59,monastery,MN0024,0.0,0.041666666666666664,0.0009430731758773462,0.2,1,0,MN0024_021,0.00019347505381024933,0.0007667117163946357,0.015873015873015872
8,31,monastery,MN0024,0.0,0.041666666666666664,0.08908828167706143,0.38095238095238093,1,0,MN0024_022,9.673752690512467e-05,0.00040284852895311365,0.015873015873015872
6,56,monastery,MN0024,0.0,0.125,0.16641075084789145,0.34285714285714286,3,1.0,MN0024_023,7.25531451788435e-05,0.0007277263748830439,0.047619047619047616
6,80,monastery,MN0024,0.07548309178743963,0.16666666666666666,0.24006090596437984,0.42105263157894735,4,0.5,MN0024_024,7.25531451788435e-05,0.0010396091069757771,0.06349206349206349
1958,354,monastery,MN0015,0.24630541871921183,0.06896551724137931,0.04047255830298504,0.30526315789473685,2,0,MN0015_000,0.023676509710029263,0.004600270298367814,0.031746031746031744
344,635,monastery,MN0015,0.024630541871921183,0.10344827586206896,0.3154598070698574,0.38666666666666666,3,0.6666666666666666,MN0015_001,0.004159713656920361,0.00825189728662023,0.047619047619047616
276,245,monastery,MN0015,0.1354679802955665,0.10344827586206896,0.003242769016144619,0.20567375886524822,3,0,MN0015_002,0.0033374446782268013,0.0031838028901133176,0.047619047619047616
128,654,monastery,MN0015,0.8288177339901478,0.3793103448275862,0.5423878278138965,0.5087719298245614,11,0.01818181818181818,MN0015_003,0.0015478004304819947,0.008498804449526979,0.1746031746031746
106,663,monastery,MN0015,0.45566502463054187,0.3448275862068966,0.4933027731660268,0.4264705882352941,10,0.044444444444444446,MN0015_004,0.001281772231492902,0.008615760474061753,0.15873015873015872
88,115,monastery,MN0015,0.0,0.034482758620689655,0.13784853538069047,0.3411764705882353,1,0,MN0015_005,0.0010641127959563714,0.0014944380912776795,0.015873015873015872
56,99,monastery,MN0015,0.19211822660098524,0.06896551724137931,0.011110442614204304,0.24786324786324787,2,0,MN0015_006,0.0006771626883358727,0.0012865162698825242,0.031746031746031744
50,619,monastery,MN0015,0.0,0.06896551724137931,0.2055460389163498,0.30526315789473685,2,1.0,MN0015_007,0.0006046095431570292,0.008043975465225076,0.031746031746031744
42,27,monastery,MN0015,0.06896551724137931,0.06896551724137931,0.14736751750491908,0.3493975903614458,2,0,MN0015_008,0.0005078720162519045,0.0003508680736043248,0.031746031746031744
31,36,monastery,MN0015,0.0,0.034482758620689655,0.03745374935141157,0.26126126126126126,1,0,MN0015_009,0.0003748579167573581,0.0004678240981390997,0.015873015873015872
24,42,monastery,MN0015,0.0332512315270936,0.06896551724137931,0.04724053991808408,0.2761904761904762,2,0,MN0015_010,0.000290212580715374,0.000545794781162283,0.031746031746031744
23,95,monastery,MN0015,0.0,0.034482758620689655,0.13784853538069047,0.3411764705882353,1,0,MN0015_011,0.0002781203898522334,0.0012345358145337353,0.015873015873015872
23,39,monastery,MN0015,0.0012315270935960591,0.06896551724137931,0.024012833964551818,0.22137404580152673,2,0,MN0015_012,0.0002781203898522334,0.0005068094396506914,0.031746031746031744
23,28,monastery,MN0015,0.0,0.034482758620689655,0.12537212204556264,0.3020833333333333,1,0,MN0015_013,0.0002781203898522334,0.00036386318744152196,0.015873015873015872
20,38,monastery,MN0015,0.0,0.034482758620689655,0.0008241947150163853,0.17159763313609466,1,0,MN0015_014,0.00024184381726281167,0.0004938143258134941,0.015873015873015872
18,35,monastery,MN0015,0.0,0.034482758620689655,0.0008241947150163853,0.17159763313609466,1,0,MN0015_015,0.00021765943553653052,0.00045482898430190247,0.015873015873015872
17,35,monastery,MN0015,0.0332512315270936,0.06896551724137931,0.04724053991808408,0.2761904761904762,2,0,MN0015_016,0.00020556724467338993,0.00045482898430190247,0.031746031746031744
17,186,monastery,MN0015,0.2955665024630542,0.06896551724137931,0.1481347832798784,0.38666666666666666,2,0,MN0015_017,0.00020556724467338993,0.002417091173718682,0.031746031746031744
16,104,monastery,MN0015,0.0,0.034482758620689655,0.13784853538069047,0.3411764705882353,1,0,MN0015_018,0.00019347505381024933,0.0013514918390685102,0.015873015873015872
16,23,monastery,MN0015,0.0012315270935960591,0.06896551724137931,0.08046394605518556,0.26605504587155965,2,0,MN0015_019,0.00019347505381024933,0.0002988876182555359,0.031746031746031744
15,103,monastery,MN0015,0.0,0.034482758620689655,0.12537212204556264,0.3020833333333333,1,0,MN0015_020,0.00018138286294710877,0.001338496725231313,0.015873015873015872
15,26,monastery,MN0015,0.0,0.034482758620689655,0.12537212204556264,0.3020833333333333,1,0,MN0015_021,0.00018138286294710877,0.00033787295976712756,0.015873015873015872
15,116,monastery,MN0015,0.0,0.034482758620689655,0.12537212204556264,0.3020833333333333,1,0,MN0015_022,0.00018138286294710877,0.0015074332051148768,0.015873015873015872
15,105,monastery,MN0015,0.0,0.034482758620689655,0.12537212204556264,0.3020833333333333,1,0,MN0015_023,0.00018138286294710877,0.0013644869529057075,0.015873015873015872
15,139,monastery,MN0015,0.0332512315270936,0.06896551724137931,0.15829871597233347,0.3493975903614458,2,0,MN0015_024,0.00018138286294710877,0.0018063208233704128,0.031746031746031744
15,73,monastery,MN0015,0.0,0.034482758620689655,0.12537212204556264,0.3020833333333333,1,0,MN0015_025,0.00018138286294710877,0.0009486433101153966,0.015873015873015872
14,92,monastery,MN0015,0.0,0.034482758620689655,0.12537212204556264,0.3020833333333333,1,0,MN0015_026,0.00016929067208396818,0.0011955504730221437,0.015873015873015872
14,24,monastery,MN0015,0.0,0.034482758620689655,0.13784853538069047,0.3411764705882353,1,0,MN0015_027,0.00016929067208396818,0.00031188273209273315,0.015873015873015872
13,129,monastery,MN0015,0.0332512315270936,0.06896551724137931,0.15829871597233347,0.3493975903614458,2,0,MN0015_028,0.00015719848122082759,0.0016763696849984406,0.031746031746031744
11,39,monastery,MN0015,0.1933497536945813,0.10344827586206896,0.1618613693452423,0.3670886075949367,3,0,MN0015_029,0.00013301409949454643,0.0005068094396506914,0.047619047619047616
6333,1944,monastery,MN0016,0.10987903225806452,0.125,0.2124374752558866,0.3333333333333333,4,0,MN0016_000,0.07657984473626932,0.025262501299511384,0.06349206349206349
487,487,monastery,MN0016,0.0,0.03125,0.09735954605061448,0.2831858407079646,1,0,MN0016_001,0.005888896950349464,0.0063286204387150435,0.015873015873015872
312,174,monastery,MN0016,0.2782258064516128,0.15625,0.29294636719565453,0.3855421686746988,5,0.1,MN0016_002,0.0037727635492998623,0.0022611498076723154,0.07936507936507936
247,247,monastery,MN0016,0.0,0.03125,0.1338364857686974,0.3018867924528302,1,0,MN0016_003,0.002986771143195724,0.0032097931177877117,0.015873015873015872
228,74,monastery,MN0016,0.36424731182795694,0.21875,0.34045159600608665,0.3902439024390244,7,0.047619047619047616,MN0016_004,0.0027570195167960533,0.0009616384239525939,0.1111111111111111
164,54,monastery,MN0016,0.4687499999999999,0.28125,0.46801595330980045,0.4266666666666667,9,0,MN0016_005,0.001983119301555056,0.0007017361472086496,0.14285714285714285
101,101,monastery,MN0016,0.0,0.0625,0.18677593520073435,0.3333333333333333,2,1.0,MN0016_006,0.001221311277177199,0.0013125064975569186,0.031746031746031744
100,100,monastery,MN0016,0.0,0.03125,0.023652271006031855,0.2222222222222222,1,0,MN0016_007,0.0012092190863140584,0.0012995113837197213,0.015873015873015872
88,88,monastery,MN0016,0.0,0.03125,0.09735954605061448,0.2831858407079646,1,0,MN0016_008,0.0010641127959563714,0.0011435700176733548,0.015873015873015872
79,61,monastery,MN0016,0.0,0.03125,0.08377429569172082,0.2807017543859649,1,0,MN0016_009,0.0009552830781881061,0.00079270194406903,0.015873015873015872
73,22,monastery,MN0016,0.32056451612903225,0.15625,0.26557781569237093,0.38095238095238093,5,0,MN0016_010,0.0008827299330092626,0.0002858925044183387,0.07936507936507936
66,66,monastery,MN0016,0.0,0.03125,0.09735954605061448,0.2831858407079646,1,0,MN0016_011,0.0007980845969672786,0.0008576775132550161,0.015873015873015872
64,41,monastery,MN0016,0.0,0.03125,0.1338364857686974,0.3018867924528302,1,0,MN0016_012,0.0007739002152409973,0.0005327996673250857,0.015873015873015872
27,27,monastery,MN0016,0.0625,0.0625,0.10603083212130844,0.2882882882882883,2,0,MN0016_013,0.0003264891533047958,0.0003508680736043248,0.031746031746031744
23,23,monastery,MN0016,0.0,0.03125,0.1338364857686974,0.3018867924528302,1,0,MN0016_014,0.0002781203898522334,0.0002988876182555359,0.015873015873015872
21,21,monastery,MN0016,0.0,0.03125,0.1338364857686974,0.3018867924528302,1,0,MN0016_015,0.00025393600812595224,0.0002728973905811415,0.015873015873015872
19,19,monastery,MN0016,0.030241935483870976,0.0625,0.19458688850500164,0.3333333333333333,2,0,MN0016_016,0.00022975162639967108,0.00024690716290674705,0.031746031746031744
17,17,monastery,MN0016,0.12096774193548387,0.0625,0.09815854464865525,0.29906542056074764,2,0,MN0016_017,0.00020556724467338993,0.00022091693523235264,0.031746031746031744
16,16,monastery,MN0016,0.22849462365591394,0.125,0.22608258201930423,0.37209302325581395,4,0.16666666666666666,MN0016_018,0.00019347505381024933,0.00020792182139515541,0.06349206349206349
